अध्यासजति	adhyāsajati	verb
अध्यासीदति / -ते	adhyāsīdati / -te	verb
अध्युद्यच्छति	adhyudyacchati	verb
अध्यृध्नोति	adhyṛdhnoti	verb
अध्येति	adhyeti	verb
अध्येधते	adhyedhate	verb
अध्येषण	adhyeṣaṇa	verb
अनक्ति	anakti	verb
अनति	anati	verb
अनर्थं करोति	anarthaṃ karoti	verb
अनशनं करोति	anaśanaṃ karoti	verb
अनुकम्पते	anukampate	verb
अनुकम्पयति	anukampayati	verb
अनुकरणं करोति	anukaraṇaṃ karoti	verb
अनुकरोति	anukaroti	verb
अनुकर्षति	anukarṣati	verb
अनुकल्पयति	anukalpayati	verb
अनुक्रोशति	anukrośati	verb
अनुक्षयति	anukṣayati	verb
अनुख्याति	anukhyāti	verb
अनुगच्छति	anugacchati	verb
अनुगायति	anugāyati	verb
अनुगाहते	anugāhate	verb
अनुगुणयति	anuguṇayati	verb
अनुगृह्णाति	anugṛhṇāti	verb
अनुग्रहं करोति	anugrahaṃ karoti	verb
अनुघट्टयति	anughaṭṭayati	verb
अनुचरति	anucarati	verb
अनुचिनोति	anucinoti	verb
अनुचिन्तयति	anucintayati	verb
अनुछिनत्ति	anuchinatti	verb
अनुजग्मुः	anujagmuḥ	Perfect
अनुजपति	anujapati	verb
अनुजयति	anujayati	verb
अनुजल्पते	anujalpate	verb
अनुजिज्ञासति	anujijñāsati	verb
अनुजिज्ञासते	anujijñāsate	verb
अनुजिहिते	anujihite	verb
अनुजुजोषति	anujujoṣati	verb
अनुज्ञप्ति	anujñapti	verb
अनुतपति	anutapati	verb
अनुतरति	anutarati	verb
अनुतापयति	anutāpayati	verb
अनुतिष्ठति	anutiṣṭhati	verb
अनुतूलयति	anutūlayati	verb
अनुददाति	anudadāti	verb
अनुदधति	anudadhati	verb
अनुदधाति	anudadhāti	verb
अनुदृमति	anudṛmati	verb
अनुद्रवति	anudravati	verb
अनुद्विषति	anudviṣati	verb
अनुधन्वति	anudhanvati	verb
अनुधावति	anudhāvati	verb
अनुध्यायति	anudhyāyati	verb
अनुनन्दति	anunandati	verb
अनुनयति	anunayati	verb
अनुनादयति	anunādayati	verb
अनुनिक्षति	anunikṣati	verb
अनुनिर्वाति	anunirvāti	verb
अनुनिशामयति	anuniśāmayati	verb
अनुन्यस्यति	anunyasyati	verb
अनुपचति	anupacati	verb
अनुपचते	anupacate	verb
अनुपठति	anupaṭhati	verb
अनुपतति	anupatati	verb
अनुपदति	anupadati	verb
अनुपरागच्छति	anuparāgacchati	verb
अनुपरापतति	anuparāpatati	verb
अनुपरिकिरति	anuparikirati	verb
अनुपरिगृह्णाति	anuparigṛhṇāti	verb
अनुपर्याजिगाति	anuparyājigāti	verb
अनुपर्यावर्तते	anuparyāvartate	verb
अनुपश्यति / -ते	anupaśyati /  -te	verb
अनुपातयति	anupātayati	verb
अनुपालयति	anupālayati	verb
अनुपिबति	anupibati	verb
अनुपृच्छति	anupṛcchati	verb
अनुपोषति	anupoṣati	verb
अनुप्रजनति	anuprajanati	verb
अनुप्रणुदति	anupraṇudati	verb
अनुप्रददाति	anupradadāti	verb
अनुप्रधावति	anupradhāvati	verb
अनुप्रपद्यते	anuprapadyate	verb
अनुप्रपिबति	anuprapibati	verb
अनुप्रभूषति	anuprabhūṣati	verb
अनुप्रमुञ्चति	anupramuñcati	verb
अनुप्रयच्छति	anuprayacchati	verb
अनुप्रयाति	anuprayāti	verb
अनुप्रयुङ्क्ते	anuprayuṅkte	verb
अनुप्ररोहति	anuprarohati	verb
अनुप्रव्रजति	anupravrajati	verb
अनुप्रशोचते	anupraśocate	verb
अनुप्रसजति / -ते	anuprasajati / -te	verb
अनुप्राप्नोति	anuprāpnoti	verb
अनुप्रास्यति	anuprāsyati	verb
अनुप्रैति	anupraiti	verb
अनुप्रोहति	anuprohati	verb
अनुप्लवन्ते	anuplavante	verb
अनुबन्धति / -ते	anubandhati / -te	verb
अनुबाधते	anubādhate	verb
अनुबुध्यते	anubudhyate	verb
अनुब्रवीति	anubravīti	verb
अनुभरति / -ते	anubharati / -te	verb
अनुभवति	anubhavati	verb
अनुभाषते	anubhāṣate	verb
अनुभिनक्ति	anubhinakti	verb
अनुभुनक्ति	anubhunakti	verb
अनुभ्राजते	anubhrājate	verb
अनुमतिं ददाति	anumatiṃ dadāti	verb
अनुमद्यति / ते	anumadyati / te	verb
अनुमन्यते	anumanyate	verb
अनुमानं करोति	anumānaṃ karoti	verb
अनुमायते	anumāyate	verb
अनुमार्जति / -ते	anumārjati / -te	verb
अनुमिमाति	anumimāti	verb
अनुमृशति / -ते	anumṛśati / -te	verb
अनुमोदते	anumodate	verb
अनुमोदनं करोति	anumodanaṃ karoti	verb
अनुयच्छति	anuyacchati	verb
अनुयाति	anuyāti	verb
अनुयोजति	anuyojati	verb
अनुरवीति	anuravīti	verb
अनुरिच्यते	anuricyate	verb
अनुरुध्यति	anurudhyati	verb
अनुरुध्यते	anurudhyate	verb
अनुरुहति	anuruhati	verb
अनुरुहते	anuruhate	verb
अनुरोदिति	anuroditi	verb
अनुरोधं करोति	anurodhaṃ karoti	verb
अनुरोहति	anurohati	verb
अनुरोहते	anurohate	verb
अनुलग्नी करोति	anulagnī karoti	verb
अनुवदति	anuvadati	verb
अनुवर्तते	anuvartate	verb
अनुवसति	anuvasati	verb
अनुवाति	anuvāti	verb
अनुविकसति	anuvikasati	verb
अनुविकिरति	anuvikirati	verb
अनुविक्रामति	anuvikrāmati	verb
अनुविचिन्तयति	anuvicintayati	verb
अनुविचिन्तयते	anuvicintayate	verb
अनुवितनुते	anuvitanute	verb
अनुवितनोति	anuvitanoti	verb
अनुविदधाति	anuvidadhāti	verb
अनुविधत्ते	anuvidhatte	verb
अनुविधीयते	anuvidhīyate	verb
अनुविनर्दति	anuvinardati	verb
अनुविनर्दते	anuvinardate	verb
अनुविनशति	anuvinaśati	verb
अनुविनश्यति	anuvinaśyati	verb
अनुविनादयति	anuvinādayati	verb
अनुविन्दति	anuvindati	verb
अनुविन्दते	anuvindate	verb
अनुविभवति	anuvibhavati	verb
अनुविमृशति	anuvimṛśati	verb
अनुविलीयते	anuvilīyate	verb
अनुविलोकयति	anuvilokayati	verb
अनुविहन्ति	anuvihanti	verb
अनुवीक्षते	anuvīkṣate	verb
अनुवेत्ति	anuvetti	verb
अनुव्याहरति	anuvyāharati	verb
अनुव्याहरते	anuvyāharate	verb
अनुव्यूहति	anuvyūhati	verb
अनुव्रजति	anuvrajati	verb
अनुशक्नोति	anuśaknoti	verb
अनुशीलयति	anuśīlayati	verb
अनुशृन्थति	anuśṛnthati	verb
अनुश्रथयते	anuśrathayate	verb
अनुष्ठति	anuṣṭhati	verb
अनुष्ठते	anuṣṭhate	verb
अनुष्यदे	anuṣyade	verb
अनुसञ्चरति	anusañcarati	verb
अनुसञ्चिन्तयति	anusañcintayati	verb
अनुसञ्ज्वरति	anusañjvarati	verb
अनुसन्तनोति	anusantanoti	verb
अनुसन्तरति	anusantarati	verb
अनुसन्दधाति	anusandadhāti	verb
अनुसन्दधात्ते	anusandadhātte	verb
अनुसन्दिशति	anusandiśati	verb
अनुसन्धानं करोति	anusandhānaṃ karoti	verb
अनुसमश्नुते	anusamaśnute	verb
अनुसमश्नोति	anusamaśnoti	verb
अनुसमाचरति	anusamācarati	verb
अनुसमाचरते	anusamācarate	verb
अनुसमादधाति	anusamādadhāti	verb
अनुसमाधत्ते	anusamādhatte	verb
अनुसमारभते	anusamārabhate	verb
अनुसम्पश्यति	anusampaśyati	verb
अनुसम्प्राप्नोति	anusamprāpnoti	verb
अनुसम्भिनत्ति	anusambhinatti	verb
अनुसम्भिन्त्ति	anusambhintti	verb
अनुसम्मन्यति	anusammanyati	verb
अनुसम्मन्यते	anusammanyate	verb
अनुसरति	anusarati	verb
अनुसारयति	anusārayati	verb
अनुसृजति	anusṛjati	verb
अनुसेवते	anusevate	verb
अनुसंयाति	anusaṃyāti	verb
अनुसंरभते	anusaṃrabhate	verb
अनुसंविचरति	anusaṃvicarati	verb
अनुसंस्थापयति	anusaṃsthāpayati	verb
अनुसंस्मरति	anusaṃsmarati	verb
अनुसंहरति	anusaṃharati	verb
अनुस्मरति	anusmarati	verb
अनुस्यति	anusyati	verb
अनुहरति	anuharati	verb
अनुहुङ्करोति	anuhuṅkaroti	verb
अनूत्पतति	anūtpatati	verb
अनूपदस्यति	anūpadasyati	verb
अनूपविशति	anūpaviśati	verb
अन्तरनक्ति	antaranakti	verb
अन्तरयति	antarayati	verb
अन्तरुपात्येति	antarupātyeti	verb
अन्तर्जिगाति	antarjigāti	verb
अन्तर्ज्वलति	antarjvalati	verb
अन्तर्धत्ते	antardhatte	verb
अन्तर्भवति	antarbhavati	verb
अन्तर्वसति	antarvasati	verb
अन्तर्हितम् करोति	antarhitam karoti	verb
अन्ताय करोति	antāya karoti	verb
अन्तःख्याति	antaḥkhyāti	verb
अन्दोलयति	andolayati	verb
अन्यत् करोति	anyat karoti	verb
अन्यथयति	anyathayati	verb
अन्यथा करोति	anyathā karoti	verb
अन्यायं करोति	anyāyaṃ karoti	verb
अन्येन सह आचरति	anyena saha ācarati	verb
अन्वनक्ति	anvanakti	verb
अन्वयुः	anvayuḥ	Perfect
अन्वर्चयति	anvarcayati	verb
अन्वर्तते	anvartate	verb
अन्वव करोति	anvava karoti	verb
अन्ववचरति	anvavacarati	verb
अन्ववति	anvavati	verb
अन्ववदधाति	anvavadadhāti	verb
अन्वश्नुते	anvaśnute	verb
अन्वश्नोति	anvaśnoti	verb
अन्वा करोति	anvā karoti	verb
अन्वाचमति	anvācamati	verb
अन्वाचरति	anvācarati	verb
अन्वाजे करोति	anvāje karoti	verb
अन्वारोहति	anvārohati	verb
अन्वाशेते	anvāśete	verb
अन्वाहरति	anvāharati	verb1
अन्वाहिण्डति	anvāhiṇḍati	verb
अन्वेतवे	anvetave	verb
अन्वेषणं करोति	anveṣaṇaṃ karoti	verb
अपकिरति	apakirati	verb
अपगच्छति	apagacchati	verb
अपचरति	apacarati	verb
अपछिनत्ति	apachinatti	verb
अपजानीते	apajānīte	verb
अपदधाति	apadadhāti	verb
अपदिशति	apadiśati	verb
अपधावति	apadhāvati	verb
अपधृष्णोति	apadhṛṣṇoti	verb
अपध्वंसति	apadhvaṃsati	verb
अपनयति	apanayati	verb
अपनिदधाति	apanidadhāti	verb
अपप्रयति	apaprayati	verb
अपभजति	apabhajati	verb1
अपमानयति	apamānayati	verb
अपयुयोति	apayuyoti	verb
अपरज्जति	aparajjati	verb
अपरज्यते	aparajyate	verb
अपस्किरते	apaskirate	verb
अपाकरोति	apākaroti	verb
अपायति	apāyati	verb
अपावर्तते	apāvartate	verb
अपाश्रयति	apāśrayati	verb
अपाश्रयते	apāśrayate	verb
अपि करोति	api karoti	verb
अपिगृह्णाति	apigṛhṇāti	verb
अपिदधाति	apidadhāti	verb
अपिम्रिष्यते	apimriṣyate	verb
अपिसङ्गृभायति	apisaṅgṛbhāyati	verb
अपुवायते	apuvāyate	verb
अपैति	apaiti	verb
अपोहाति	apohāti	verb
अपोहाते	apohāte	verb
अप्यस्ति	apyasti	verb
अप्योति	apyoti	verb
अभवत्	abhavat	verb
अभवन्	abhavan	verb
अभिकम्पते	abhikampate	verb
अभिकरोति	abhikaroti	verb
अभिकर्षति	abhikarṣati	verb
अभिकाङ्क्षति	abhikāṅkṣati	verb
अभिकुष्णाति	abhikuṣṇāti	verb
अभिक्षिपति	abhikṣipati	verb
अभिगच्छति	abhigacchati	verb
अभिगर्जति	abhigarjati	verb
अभिगोपायति	abhigopāyati	verb
अभिग्रिह्णाति	abhigrihṇāti	verb
अभिचरति	abhicarati	verb
अभिचिह्नयति	abhicihnayati	verb
अभिजानाति	abhijānāti	verb
अभिजिघ्रति	abhijighrati	verb
अभिजुहोति	abhijuhoti	verb
अभिज्वलति	abhijvalati	verb
अभिज्वलयति	abhijvalayati	verb
अभितनुते	abhitanute	verb8
अभितनोति	abhitanoti	verb8
अभितर्जयति	abhitarjayati	verb
अभितिष्टति	abhitiṣṭati	verb
अभितृणत्ति	abhitṛṇatti	verb
अभिदत्ते	abhidatte	verb
अभिददाति	abhidadāti	verb
अभिदधाति	abhidadhāti	verb
अभिदूष्यति	abhidūṣyati	verb
अभिद्रुह्यति	abhidruhyati	verb
अभिधावति	abhidhāvati	verb
अभिध्यायति	abhidhyāyati	verb
अभिनन्दनं करोति	abhinandanaṃ karoti	verb
अभिनयति	abhinayati	verb
अभिनिमन्त्रयति	abhinimantrayati	verb
अभिनिमन्त्रयते	abhinimantrayate	verb
अभिनिम्रोचति	abhinimrocati	verb
अभिनिर्णुदति	abhinirṇudati	verb
अभिनिर्दिशति	abhinirdiśati	verb
अभिनिर्मिनोति	abhinirminoti	verb
अभिनिर्वर्तते	abhinirvartate	verb
अभिनिवर्तते	abhinivartate	verb
अभिनिविशते	abhiniviśate	verb
अभिनिशाम्यति	abhiniśāmyati	verb
अभिनिषिञ्चति	abhiniṣiñcati	verb
अभिनिष्पदति	abhiniṣpadati	verb
अभिनिस्यन्दते	abhinisyandate	verb
अभिनिहन्ति	abhinihanti	verb
अभिनुदति	abhinudati	verb
अभिपतति	abhipatati	verb
अभिपरिगृह्णाति	abhiparigṛhṇāti	verb
अभिपर्येहि	abhiparyehi	verb
अभिपवते	abhipavate	verb
अभिपश्यति	abhipaśyati	verb
अभिपाति	abhipāti	verb
अभिपीडयति	abhipīḍayati	verb
अभिप्रगाहते	abhipragāhate	verb
अभिप्रजायते	abhiprajāyate	verb
अभिप्रजाष्यते	abhiprajāṣyate	verb
अभिप्रजिहीते	abhiprajihīte	verb
अभिप्रज्वलति	abhiprajvalati	verb
अभिप्रणक्षति	abhipraṇakṣati	verb
अभिप्रतिपिनष्टि	abhipratipinaṣṭi	verb
अभिप्रतिष्टति	abhipratiṣṭati	verb
अभिप्रद्रवते	abhipradravate	verb
अभिप्रनवति	abhipranavati	verb
अभिप्रपद्यते	abhiprapadyate	verb
अभिप्रपश्यति	abhiprapaśyati	verb
अभिप्रबुध्यते	abhiprabudhyate	verb
अभिप्रभवति	abhiprabhavati	verb
अभिप्रमन्	abhipraman	verb
अभिप्रमन्दति	abhipramandati	verb
अभिप्रमृशति	abhipramṛśati	verb
अभिप्रयाति	abhiprayāti	verb
अभिप्रय्ङ्क्ते	abhiprayṅkte	verb
अभिप्ररोहति	abhiprarohati	verb
अभिप्रवते	abhipravate	verb
अभिप्रवर्तते	abhipravartate	verb
अभिप्रवेपते	abhipravepate	verb
अभिप्रशंसति	abhipraśaṃsati	verb
अभिप्रशंसते	abhipraśaṃsate	verb
अभिप्रस्तृणाति	abhiprastṛṇāti	verb
अभिप्रस्तृणीते	abhiprastṛṇīte	verb
अभिप्रस्तृणुते	abhiprastṛṇute	verb
अभिप्रस्तृणोति	abhiprastṛṇoti	verb
अभिप्रहन्ति	abhiprahanti	verb
अभिप्राणीति	abhiprāṇīti	verb
अभिप्रेष्यति	abhipreṣyati	verb
अभिप्लवते	abhiplavate	verb
अभिबाधते	abhibādhate	verb
अभिबिपति	abhibipati	verb
अभिभर्त्सयते	abhibhartsayate	verb
अभिभवति	abhibhavati	verb
अभिभाति	abhibhāti	verb
अभिभाषते	abhibhāṣate	verb
अभिभूषति	abhibhūṣati	verb
