एकपदे	ekapade	adverb
एकपादे	ekapāde	adverb
एकशस्	ekaśas	adverb
एकस्थ	ekastha	adverb
एकाग्रचित्तेन	ekāgracittena	adverb
एकान्ततः	ekāntataḥ	adverb
एकावसरम्	ekāvasaram	adverb
एकीभूय	ekībhūya	adverb
एकैकशः	ekaikaśaḥ	adverb
एतदर्थम्	etadartham	adverb
एव	eva	adverb
एवमस्तु	evamastu	adverb
एवम्	evam	adverb
एवम् अस्तु	evam astu	adverb
एषितुम्	eṣitum	infinitive
ऐतिहासिकम्	aitihāsikam	adverb
ओम्	om	adverb
ओषधिसम्बन्धिन्	oṣadhisambandhin	adverb
ओषितुम्	oṣitum	infinit.
औम्	aum	adverb
कथञ्चन	kathañcana	adv.
कथञ्चिद्	kathañcid	adverb
कथमपि	kathamapi	adverb
कथयितुम्	kathayitum	infinitive
कथयित्वा	kathayitvā	gerund
कथं कथमपि	kathaṃ kathamapi	adverb
कदा	kadā	adverb
कदापि	kadāpi	adverb
कद्	kad	adverb
कम्	kam	adverb
कम्पितुम्	kampitum	infinitive
कम्पित्वा	kampitvā	gerund
करणेन	karaṇena	conj.
कर्तयितुम्	kartayitum	infinitive
कर्तयित्वा	kartayitvā	gerund
कल्प	kalpa	adverb
कल्पम्	kalpam	adverb
कष्टम्	kaṣṭam	adverb
कष्टेन	kaṣṭena	adverb
कामतः	kāmataḥ	adverb
कामम्	kāmam	adverb
कामात्	kāmāt	adverb
काले	kāle	adverb
काले काले	kāle kāle	adverb
काशितुम्	kāśitum	infinitive
काशित्वा	kāśitvā	gerund
किञ्चित्	kiñcit	adverb
किन्ञ्चित्	kinñcit	adverb
किन्तु	kintu	conj.
किल	kila	adverb
किं तु	kiṃ tu	conj.
किं स्विद्	kiṃ svid	adv.
कुटिलम्	kuṭilam	adverb
कुतूहलात्	kutūhalāt	adverb
कुतः	kutaḥ	interr.
कृच्छ्रेण	kṛcchreṇa	adverb
कृत्वा	kṛtvā	gerund
कृपया	kṛpayā	adverb
कोशान्तर्गतम्	kośāntargatam	adverb
कौटिल्येन	kauṭilyena	adverb
क्रमतस्	kramatas	adv.
क्रमशस्	kramaśas	adverb
क्रमशः	kramaśaḥ	adverb
क्रमित्वा	kramitvā	gerund
क्रमेण	krameṇa	adverb
क्रान्त्वा	krāntvā	gerund
क्रीत्वा	krītvā	gerund
क्रुद्ध्वा	kruddhvā	gerund
क्वचिद्	kvacid	adverb
क्वचिद् ... क्वचिद्	kvacid ... kvacid	adverb
क्षिप्रम्	kṣipram	adverb
खण्डशः	khaṇḍaśaḥ	adverb
खर	khara	adverb
खादितुम्	khāditum	infinit.
ख्यातगर्हणम्	khyātagarhaṇam	adverb
गणनां समीकृत्य	gaṇanāṃ samīkṛtya	gerund
गतकाले	gatakāle	adverb
गतमासे	gatamāse	adverb
गतरविवारे	gataravivāre	adverb
गतवर्षे	gatavarṣe	adverb
गतसप्ताहे	gatasaptāhe	adverb
गत्वा	gatvā	gerund
गद्गदम्	gadgadam	adverb
गम्भीरम्	gambhīram	adverb
गर्हितम्	garhitam	adverb
गाढम्	gāḍham	adverb
गूह्य	gūhya	gerund
गृहीत्वा	gṛhītvā	gerund
ग्रसित्वा	grasitvā	gerund
ग्रीत्वा	grītvā	gerund
च	ca	adverb
चण्डम्	caṇḍam	adverb
चमसेन	camasena	adverb
चिद्	cid	adverb
चिरात्	cirāt	adverb
चिराद्	cirād	adverb
चेन् न	cen na	conj.
छलेन	chalena	adverb
जवात्	javāt	adverb
जातु	jātu	adverb
जातु	jātu	adv.
जिह्वालौल्येन	jihvālaulyena	adverb
जीव-	jīva-	prefix
जोषम्	joṣam	adverb
झटित	jhaṭita	adverb
ततस्	tatas	adverb
ततः	tataḥ	adverb
ततः परम्	tataḥ param	adverb
ततः प्रभुति	tataḥ prabhuti	adverb
ततः-प्रभृति	tataḥ-prabhṛti	adverb
तत्क्षने	tatkṣane	adverb
तत्त्वतः	tattvataḥ	adverb
तथास्तु	tathāstu	adverb
तथा हि	tathā hi	adverb
तदनन्तरम्	tadanantaram	adverb
तदनु	tadanu	adverb
तदा	tadā	adverb
तद्	tad	adverb
तद् अपि	tad api	adverb
तद् यथा	tad yathā	adverb
तद्वत्	tadvat	adverb
तर्हि	tarhi	adverb
तात्	tāt	adverb
तावद्	tāvad	adverb
तिरस्	tiras	adverb
तीक्ष्णम्	tīkṣṇam	adverb
तीव्रम्	tīvram	adverb
तु	tu	adverb
तूर्णस्	tūrṇas	adverb
तूष्णीम्	tūṣṇīm	adverb
तेन	tena	adverb
त्मना	tmanā	adverb
त्यक्त्वा	tyaktvā	gerund
त्रयः, तिस्रः, त्रीणि	trayaḥ, tisraḥ, trīṇi	adverb
त्वद्वत्	tvadvat	adverb
त्वरितम्	tvaritam	adverb
दक्षिणहस्तेन	dakṣiṇahastena	adverb
दण्डवत्	daṇḍavat	adverb
दिवा	divā	adverb
दीर्घम्	dīrgham	adverb
दुस्	dus	adverb
दुःखेन	duḥkhena	adverb
दृढ	dṛḍha	adverb
दृढम्	dṛḍham	adverb
दृष्ट्वा	dṛṣṭvā	gerund
देवता	devatā	adverb
देवयोगेम	devayogema	adverb
देशान्तरम्	deśāntaram	adverb
दैवतस्	daivatas	adverb
दोषंविना	doṣaṃvinā	adverb
द्रुतस्	drutas	adverb
द्वयम्	dvayam	adverb
द्वयि-	dvayi-	prefix
द्विधा	dvidhā	adverb
धित्वा	dhitvā	gerund
ध्यानेन	dhyānena	adverb
ध्रुवस्	dhruvas	adverb
न	na	adverb
नक्तम्	naktam	adverb
नग्नपादम्	nagnapādam	adverb
नग्नशिरसम्	nagnaśirasam	adverb
नचिरात्	nacirāt	adverb
नञ्	nañ	adverb
