ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अकारणेन	akāraṇena	ind.	without any cause
अकारणोत्पन्न	akāraṇotpanna	adj.	produced spontaneously
अकारान्त	akārānta	adj.	ending in 'a'  [ word ]
अकारिन्	akārin	adj.	inactive
अकार्णवेष्टकिक	akārṇaveṣṭakika	adj.	not fit for ear-rings
अकार्णवेष्टकिक	akārṇaveṣṭakika	adj.	not looking well with ear-rings
अकार्य	akārya	adj.	improper
अकार्य	akārya	adj.	not to be done
अकार्य	akārya	n.	crime
अकार्य	akārya	n.	criminal action
अकार्य	akārya	n.	what ought not to be done
अकार्यकारिन्	akāryakārin	adj.	an evil-doer
अकार्यकारिन्	akāryakārin	adj.	neglecting duty
अकार्ष्ण्य	akārṣṇya	n.	absence of blackness
अकाल	akāla	adj.	untimely
अकालकुष्माण्ड	akālakuṣmāṇḍa	m.	pumpkin produced out of season
अकालकुष्माण्ड	akālakuṣmāṇḍa	m.	useless birth
अकालकुसुम	akālakusuma	n.	flower blossoming out of season
अकालसह	akālasaha	adj.	unable to bide one's time
अकालहीनम्	akālahīnam	ind.	immediately
अकालहीनम्	akālahīnam	ind.	without losing time
अकालिकम्	akālikam	adverb	immediately
अकाशत् { काश् }	akāśat  { kāś }	imperfect	shone  [ he/she/it ]
अकिञ्चन	akiñcana	adj.	disinterested
अकिञ्चन	akiñcana	adj.	utterly destitute
अकिञ्चनता	akiñcanatā	f.	voluntary poverty
अकिञ्चनत्व	akiñcanatva	n.	voluntary poverty
अकिञ्चनिमन्	akiñcaniman	m.	utter destitution
अकिञ्चित्क्रर	akiñcitkrara	adj.	trifling
अकिञ्चिद्	akiñcid	adj.	insignificant
अकिञ्चिद्	akiñcid	adj.	not able to do anything
अकिञ्चिद्	akiñcid	n.	nothing
अकितव	akitava	m.	no gambler
अकिल्विष	akilviṣa	adj.	sinless
अकीर्ति	akīrti	f.	disgrace
अकीर्ति	akīrti	f.	ill fame
अकीर्ति	akīrti	f.	ill-fame
अकीर्ति	akīrti	f.	non-fame
अकीर्तिकर	akīrtikara	adj.	disparaging
अकीर्तिकर	akīrtikara	adj.	insulting
अकीर्तित	akīrtita	adj.	disreputable
अकुण्ठ	akuṇṭha	adj.	eternal
अकुण्ठ	akuṇṭha	adj.	ever fresh
अकुण्ठ	akuṇṭha	adj.	fixed
अकुण्ठ	akuṇṭha	adj.	not blunted
अकुण्ठ	akuṇṭha	adj.	not worn out
अकुण्ठ	akuṇṭha	adj.	vigorous
अकुण्ठित	akuṇṭhita	adj.	not encircled
अकुण्ठित	akuṇṭhita	adj.	not held
अकुण्ठित	akuṇṭhita	adj.	ṣee also akuṇṭha
अकुण्ठित	akuṇṭhita	adj.	unmutilated
अकुण्डल	akuṇḍala	adj.	without ear-rings
अकुतश्चन	akutaścana	m.	name lord ṣhiva
अकुतश्चल	akutaścala	m.	not movable from any cause
अकुतश्चिद्भय	akutaścidbhaya	adj.	having no fear from any quarter
अकुतश्चिद्भय	akutaścidbhaya	adj.	secure
अकुतोभय	akutobhaya	adj.	having no fear from any quarter
अकुतोभय	akutobhaya	adj.	secure
अकुतोभय	akutobhaya	adj.	without any danger
अकुतोमृत्यु	akutomṛtyu	adj.	not threatened by death from any quarter
अकुत्रचभय	akutracabhaya	adj.	having no fear from any quarter
अकुत्रचभय	akutracabhaya	adj.	secure
अकुत्रा	akutrā	ind.	astray
अकुत्रा	akutrā	ind.	nowhere
अकुत्सयत्	akutsayat	adj.	not abusing or reproaching
अकुत्सित	akutsita	adj.	unreproached
अकुध्र्यञ्च्	akudhryañc	ind.	objectless
अकुप्यत्	akupyat	adj.	not boiling
अकुम्भ	akumbha	m.	anything singular of its kind
अकुरुतम् { कृ }	akurutam  { kṛ }	verb 8	you (two) did
अकुरुताम् { कृ }	akurutām  { kṛ }	verb 8	they (two) did
अकुर्व { कृ }	akurva  { kṛ }	verb 8	we (two) did
अकुर्वन् { कृ }	akurvan  { kṛ }	verb 8	they (all) did
अकुल	akula	adj.	low
अकुल	akula	adj.	mean
