ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अनर्मन्	anarman	adj.	not jocular
अनर्मन्	anarman	adj.	sarcastic
अनर्व	anarva	adj.	irresistible
अनर्वन्	anarvan	adj.	irresistible
अनर्विश्	anarviś	m.	driver
अनर्विश्	anarviś	m.	seated on the car
अनर्ह	anarha	adj.	inadequate
अनर्ह	anarha	adj.	not deserving
अनर्ह	anarha	adj.	not fit
अनर्ह	anarha	adj.	not worthy
अनर्ह	anarha	adj.	undeserving
अनर्ह	anarha	adj.	undeserving of punishment or of reward
अनर्ह	anarha	adj.	unsuitable
अनर्ह	anarha	adj.	unworthy
अनर्हत्	anarhat	adj.	undeserving of punishment or of reward
अनर्ह्यता	anarhyatā	f.	not being properly estimated
अनर्ह्यता	anarhyatā	f.	unsuitableness
अनल	anala	m.	bile
अनल	anala	m.	digestive power
अनल	anala	m.	fiftieth year of bṛhaspati's cycle
अनल	anala	m.	fire
अनल	anala	m.	gastric juice
अनल	anala	m.	ṅod of fire
अनल	anala	m.	letter r
अनल	anala	m.	number three
अनल	anala	m.	third lunar mansion or kṛttikā
अनल	anala	m.	wind
अनलङ्करिष्णु	analaṅkariṣṇu	adj.	unornamented
अनलचुल्लि	analaculli	m.	gas stove
अनलद	analada	adj.	quenching fire
अनलदीप	analadīpa	m.	gas candle
अनलदीप	analadīpa	m.	gas lamp
अनलदीपन	analadīpana	adj.	exciting the digestion
अनलदीपन	analadīpana	adj.	stomachic
अनलप्रभा	analaprabhā	f.	Balloon plant  [ Cardiospermum ḥalicacabum - Bot. ]
अनलप्रिया	analapriyā	f.	agni's wife
अनलम्	analam	ind.	insufficiently
अनलम्	analam	ind.	not enough
अनलम्	analam	ind.	unable to
अनलस	analasa	adj.	active
अनलस	analasa	adj.	energetic
अनलस	analasa	adj.	not laśy
अनलसख	analasakha	m.	fire's friend
अनलि	anali	m.	hummingbird tree  [ ṣesbania grandiflora - Bot. ]
अनलोपल	analopala	m.	crystal
अनलोपल	analopala	m.	fire-stone
अनल्प	analpa	adj.	considerate
अनल्प	analpa	adj.	many
अनल्प	analpa	adj.	much
अनल्प	analpa	adj.	not a little
अनल्प	analpa	adj.	not few
अनल्प	analpa	adj.	not small
अनल्प	analpa	adj.	numerous
अनल्पघोष	analpaghoṣa	adj.	very noisy
अनवकाश	anavakāśa	adj.	having no opportunity or occasion
अनवकाश	anavakāśa	adj.	having no scope
अनवकाश	anavakāśa	adj.	inapplicable
अनवकाश	anavakāśa	adj.	uncalled for
अनवक्रामम्	anavakrāmam	ind.	not stepping upon
अनवगदित	anavagadita	ppp.	not censured
अनवगाहिन्	anavagāhin	adj.	not dipping into
अनवगाहिन्	anavagāhin	adj.	not studying
अनवगाह्य	anavagāhya	adj.	unfathomable
अनवगीत	anavagīta	adj.	not become tedious
अनवगीत	anavagīta	adj.	not made an object of contemptuous song
अनवग्रह	anavagraha	adj.	not to be intercepted
अनवच्छित्ति	anavacchitti	f.	uninterruptedness
अनवच्छिन्न	anavacchinna	adj.	immoderate
अनवच्छिन्न	anavacchinna	adj.	not intersected
अनवच्छिन्न	anavacchinna	adj.	not marked off
अनवच्छिन्न	anavacchinna	adj.	unbounded
अनवच्छिन्न	anavacchinna	adj.	undiscriminated
अनवच्छिन्न	anavacchinna	adj.	uninterrupted
अनवच्छिन्नहास	anavacchinnahāsa	m.	continuous or immoderate laughter
अनवद्य	anavadya	adj.	faultless
अनवद्य	anavadya	adj.	innocent
अनवद्य	anavadya	adj.	irreproachable
अनवद्य	anavadya	adj.	unobjectionable
अनवद्यता	anavadyatā	f.	faultlessness
अनवद्यत्व	anavadyatva	n.	faultlessness
अनवद्यरूप	anavadyarūpa	adj.	of faultless form or beauty
अनवद्याङ्ग	anavadyāṅga	adj.	having a faultless body
अनवद्याङ्ग	anavadyāṅga	adj.	having faultless body or limbs
अनवद्राण	anavadrāṇa	adj.	not going to sleep
अनवद्राण	anavadrāṇa	adj.	not sleepy
अनवधर्ष्य	anavadharṣya	adj.	not to be defied
अनवधान	anavadhāna	adj.	careless
अनवधान	anavadhāna	adj.	inattentive
अनवधान	anavadhāna	n.	inadvertence
अनवधान	anavadhāna	n.	inattention
अनवधानता	anavadhānatā	f.	carelessness
अनवधानता	anavadhānatā	f.	inadvertence
अनवधि	anavadhi	adj.	infinite
अनवधि	anavadhi	adj.	unlimited
अनवधृष्य	anavadhṛṣya	adj.	impossible to be put down or injured
अनवध्य	anavadhya	adj.	blameless
अनवध्य	anavadhya	adj.	faultless
अनवनामितवैजयन्त	anavanāmitavaijayanta	m.	ever glorious
अनवनामितवैजयन्त	anavanāmitavaijayanta	m.	future universe
अनवनामितवैजयन्त	anavanāmitavaijayanta	m.	having victorious banners unlowered
अनवबुध्यमान	anavabudhyamāna	adj.	deranged
अनवब्रव	anavabrava	adj.	irreproachable
अनवभ्रराधस्	anavabhrarādhas	adj.	having or giving undiminished wealth
अनवम	anavama	adj.	exalted
अनवरत	anavarata	adj.	incessant
अनवरतम्	anavaratam	ind.	incessantly
अनवरार्ध्य	anavarārdhya	adj.	chief
अनवरार्ध्य	anavarārdhya	adj.	principal
अनवरोध्य	anavarodhya	adj.	not to be constrained or forced
अनवर्ण	anavarṇa	adj.	beautiful
अनवर्ण	anavarṇa	adj.	fair
अनवर्ण	anavarṇa	adj.	not ugly
अनवलम्ब	anavalamba	adj.	not propped up
अनवलम्बन	anavalambana	n.	independence
अनवलम्बित	anavalambita	adj.	not supported or propped up
अनवलेप	anavalepa	adj.	free from veneer
अनवलेप	anavalepa	adj.	plain
अनवलेप	anavalepa	adj.	unassuming
अनवलेप	anavalepa	adj.	unvarnished
अनवस	anavasa	adj.	not making to halt
अनवसर	anavasara	adj.	busy
अनवसर	anavasara	adj.	coming when there is no such interval
अनवसर	anavasara	adj.	having no interval of leisure
अनवसर	anavasara	adj.	inopportune
अनवसर	anavasara	m.	absence of leisure
अनवसर	anavasara	m.	unseasonableness
अनवसान	anavasāna	adj.	endless
अनवसान	anavasāna	adj.	free from death
अनवसान	anavasāna	adj.	having no termination
अनवसित	anavasita	adj.	not terminated
अनवस्कर	anavaskara	adj.	clean
अनवस्कर	anavaskara	adj.	cleansed
अनवस्कर	anavaskara	adj.	free from dirt
अनवस्थ	anavastha	adj.	unsettled
अनवस्थ	anavastha	adj.	unstable
अनवस्थ	anavastha	adj.	unsteady
अनवस्था	anavasthā	adj.	non-finality
अनवस्था	anavasthā	f.	absence of finality or conclusion
अनवस्था	anavasthā	f.	disorder
अनवस्था	anavasthā	f.	endless series of statements
अनवस्था	anavasthā	f.	instability
अनवस्था	anavasthā	f.	non-finality (of a proposition)  [ philos. ]
अनवस्था	anavasthā	f.	unsettled character
अनवस्था	anavasthā	f.	unsettled condition
अनवस्था	anavasthā	f.	unsettled condition or character
अनवस्था	anavasthā	f.	unsteady or loose conduct
अनवस्थान	anavasthāna	adj.	fickle
अनवस्थान	anavasthāna	adj.	unstable
अनवस्थान	anavasthāna	m.	wind
अनवस्थान	anavasthāna	n.	instability
अनवस्थान	anavasthāna	n.	unsteadiness or looseness of conduct
अनवस्थायिन्	anavasthāyin	adj.	transient
अनवस्थित	anavasthita	adj.	dissolute
अनवस्थित	anavasthita	adj.	faithless
अनवस्थित	anavasthita	adj.	fickle
अनवस्थित	anavasthita	adj.	loose in conduct
अनवस्थित	anavasthita	adj.	unsettled
अनवस्थित	anavasthita	adj.	unstable
अनवस्थित	anavasthita	adj.	unsteady
अनवस्थितचित्तत्व	anavasthitacittatva	n.	unsteadiness of mind
अनवस्थितत्व	anavasthitatva	n.	unsteadiness
अनवस्थितपरिक्रम	anavasthitaparikrama	m.	infinite loop  [ computer ]
अनवस्थिति	anavasthiti	f.	looseness of character
अनवस्थिति	anavasthiti	f.	unsteadiness
अनवहित	anavahita	adj.	heedless
अनवहित	anavahita	adj.	inattentive
अनवहित	anavahita	adj.	thoughtless
अनवह्वर	anavahvara	adj.	straightforward
अनवाच्	anavāc	adj.	not speechless
अनवानता	anavānatā	f.	contiguity
अनवानता	anavānatā	f.	uninterruptedness
अनवानम्	anavānam	ind.	steadily
अनवाप्ति	anavāpti	f.	non-attainment
अनवाय	anavāya	adj.	uninterrupted
अनवाय	anavāya	adj.	unyielding
अनविथ्य	anavithya	adj.	not suited to sheep
अनवेक्ष	anavekṣa	adj.	regardless
अनवेक्षण	anavekṣaṇa	n.	regardlessness
अनवेत	anaveta	adj.	not gone away or run off
अनवेष्ट	anaveṣṭa	adj.	not averted by sacrifice
अनव्रत	anavrata	adj.	not destitute of ascetic exercises
अनव्रत	anavrata	m.	jaina devotee of that description
अनशन	anaśana	n.	abstinence from food
अनशन	anaśana	n.	fasting
अनशनं करोति { कृ }	anaśanaṃ karoti  { kṛ }	verb	perform hunger strike
अनश्वर	anaśvara	adj.	immortal
अनश्वर	anaśvara	adj.	imperishable
अनश्वरस्मृति	anaśvarasmṛti	f.	non-volatile memory  [ computer ]
अनष्ट	anaṣṭa	adj.	unimpaired
अनष्टपशु	anaṣṭapaśu	adj.	having one's cattle unimpaired
अनष्टवेदस्	anaṣṭavedas	adj.	having one's property unimpaired
अनसूय	anasūya	adj.	not envious
अनसूय	anasūya	adj.	not spiteful
अनसूयक	anasūyaka	adj.	not spiteful or envious
अनसूया	anasūyā	f.	absence of ill-will
अनसूया	anasūyā	f.	absence of ill-will or envy
अनसूया	anasūyā	f.	freedom from spite
अनसूयु	anasūyu	adj.	not spiteful or envious
अनसूरि	anasūri	m.	not unwise
अनस्	anas	n.	birth
अनस्	anas	n.	boiled rice
अनस्	anas	n.	cart
अनस्	anas	n.	living creature
अनस्	anas	n.	mother
अनस्	anas	n.	off spring
अनस्तमित	anastamita	adj.	not subject to setting or declining
अनस्वत्	anasvat	adj.	yoked to a cart
अनह	anaha	adj.	breathing freely
अनह	anaha	adj.	healthy
अनह	anaha	adj.	well
अनहङ्कार	anahaṅkāra	adj.	being without false egoism
अनहङ्कार	anahaṅkāra	adj.	free from self-conceit
अनहङ्कार	anahaṅkāra	m.	absence of self-conceit or of the tendency to regard self as something distinct from the ṣupreme ṣpirit
अनहङ्कार	anahaṅkāra	m.	freedom from pride
अनहङ्कार	anahaṅkāra	m.	non-egotism
अनहङ्कृत	anahaṅkṛta	adj.	altruistic
अनहङ्कृत	anahaṅkṛta	adj.	free from self-conceit
अनहङ्कृति	anahaṅkṛti	adj.	free from self-conceit or pride
अनहन्	anahan	n.	evil or unlucky day
अनहन्	anahan	n.	no day
अनहन्	anahan	n.	non-day
अना	anā	ind.	hereby
अना	anā	ind.	indeed
अना	anā	ind.	thus
अनाकार	anākāra	adj.	shapeless
अनाकारित	anākārita	adj.	not claimed
अनाकारित	anākārita	adj.	not exacted
अनाकाल	anākāla	m.	famine
अनाकाल	anākāla	m.	unseasonable time
अनाकालभृत	anākālabhṛta	m.	slave who became so voluntarily to avoid starvation in a time of scarcity
अनाकाश	anākāśa	adj.	dark
अनाकाश	anākāśa	adj.	differing from ether
अनाकाश	anākāśa	adj.	having no ether or transparent atmosphere
अनाकाश	anākāśa	adj.	opaque
अनाकाश	anākāśa	n.	non-ether
अनाकुल	anākula	adj.	calm
अनाकुल	anākula	adj.	consistent
अनाकुल	anākula	adj.	not beset
अनाकुल	anākula	adj.	not confused
अनाकुल	anākula	adj.	regular
अनाकुल	anākula	adj.	unperplexed
अनाक्रान्ता	anākrāntā	f.	Prickly ṇightshade
अनाक्षारित	anākṣārita	adj.	unreproached
अनाक्षित्	anākṣit	adj.	not residing or resting
अनाग	anāga	adj.	sinless
अनागत	anāgata	adj.	future
अनागत	anāgata	adj.	not arrived
अनागत	anāgata	adj.	not attained
अनागत	anāgata	adj.	not come
अनागत	anāgata	adj.	not learnt
अनागत	anāgata	adj.	unknown
अनागतविधातृ	anāgatavidhātṛ	m.	disposer of the future
अनागतविधातृ	anāgatavidhātṛ	m.	provident
अनागतार्तवा	anāgatārtavā	f.	girl who has not yet attained to puberty
अनागति	anāgati	f.	non-accession
अनागति	anāgati	f.	non-arrival
अनागति	anāgati	f.	non-attainment
अनागम	anāgama	adj.	and therefore without documentary proof
अनागम	anāgama	adj.	but possessed from time immemorial
अनागम	anāgama	adj.	not come
अनागम	anāgama	adj.	not constituting an accession to previous property
अनागम	anāgama	adj.	not present
अनागम	anāgama	m.	non-arrival
अनागम	anāgama	m.	non-attainment
अनागम्य	anāgamya	adj.	unattainable
अनागर्त	anāgarta	adj.	without holes
अनागस्	anāgas	adj.	blameless
अनागस्	anāgas	adj.	innocent
अनागस्	anāgas	adj.	not injuring
अनागस्	anāgas	adj.	sinless
अनागामिन्	anāgāmin	adj.	not arriving
अनागामिन्	anāgāmin	adj.	not coming
अनागामिन्	anāgāmin	adj.	not future
अनागामिन्	anāgāmin	adj.	not subject to returning
अनागामुक	anāgāmuka	adj.	not likely to come
अनागास्त्व	anāgāstva	n.	sinlessness
अनागूर्तिन्	anāgūrtin	adj.	one who has shown approval through exclamations  [ during sacrifice ]
अनागोहत्या	anāgohatyā	f.	murder of an innocent person
अनाचरण	anācaraṇa	n.	improper behaviour
अनाचरण	anācaraṇa	n.	misconduct
अनाचरण	anācaraṇa	n.	non-performance of what is right or customary
अनाचार	anācāra	adj.	curious
अनाचार	anācāra	adj.	devious
अनाचार	anācāra	adj.	regardless of custom or propriety or law
अनाचार	anācāra	adj.	uncommon
अनाचार	anācāra	m.	departure from established principles
अनाचारिन्	anācārin	adj.	devious
अनाछृण्ण	anāchṛṇṇa	adj.	not poured upon
अनाज्ञप्त	anājñapta	adj.	not commanded
अनाज्ञप्तकारिन्	anājñaptakārin	adj.	doing what has not been commanded
अनाज्ञया	anājñayā	ind.	without permission
अनाज्ञा	anājñā	ind.	without permission
अनाज्ञात	anājñāta	adj.	surpassing all that has ever been known
अनाज्ञात	anājñāta	adj.	unknown
अनाज्ञातम्	anājñātam	ind.	in an unknown i.e. inexplicable way or manner
अनातत	anātata	adj.	not stretched or strung
अनातप	anātapa	adj.	cool
अनातप	anātapa	adj.	protected from heat
अनातप	anātapa	adj.	shady
अनातप	anātapa	m.	freedom from the blaśe of the sun
अनातप	anātapa	m.	shade
अनातुर	anātura	adj.	free from suffering or weariness
अनातुर	anātura	adj.	not fatigued
अनातुर	anātura	adj.	not sick
अनातुर	anātura	adj.	well
अनात्मक	anātmaka	adj.	unreal
अनात्मज्ञ	anātmajña	adj.	destitute of spiritual knowledge or true wisdom
अनात्मज्ञ	anātmajña	adj.	foolish
अनात्मज्ञ	anātmajña	adj.	silly
अनात्मज्ञ	anātmajña	m.	fool
अनात्मज्ञ	anātmajña	m.	idiot
अनात्मता	anātmatā	f.	want of common sense
अनात्मनीन	anātmanīna	adj.	disinterested
अनात्मनीन	anātmanīna	adj.	not adapted to self
अनात्मन्	anātman	adj.	corporeal
अनात्मन्	anātman	adj.	destitute of spirit or mind
अनात्मन्	anātman	adj.	not spiritual
अनात्मन्	anātman	adj.	unreal
अनात्मन्	anātman	m.	another
अनात्मन्	anātman	m.	not self
अनात्मन्	anātman	m.	something different from spirit or soul
अनात्मवत्	anātmavat	adj.	not self-possessed
अनात्मवत्	anātmavat	ind.	unlike one's self
अनात्म्य	anātmya	adj.	impersonal
अनात्म्य	anātmya	n.	want of affection for one's own family
अनात्यन्तिक	anātyantika	adj.	intermittent
अनात्यन्तिक	anātyantika	adj.	recurrent
अनाथ	anātha	adj.	fatherless
अनाथ	anātha	adj.	having no master or protector
अनाथ	anātha	adj.	helpless
अनाथ	anātha	adj.	parentless
अनाथ	anātha	adj.	poor
अनाथ	anātha	adj.	widowed
अनाथ	anātha	m.	orphan
अनाथ	anātha	n.	helplessness
अनाथ	anātha	n.	want of a protector
अनाथपिण्डद	anāthapiṇḍada	m.	giver of cakes or food to the poor
अनाथपिण्डिक	anāthapiṇḍika	m.	giver of cakes or food to the poor
अनाथालय	anāthālaya	m.	asylum for poor
अनाथालय	anāthālaya	m.	orphanage
अनाददान	anādadāna	adj.	not accepting
अनादर	anādara	adj.	indifferent
अनादर	anādara	m.	contempt
अनादर	anādara	m.	contemptuous neglect
अनादर	anādara	m.	disregard
अनादर	anādara	m.	disrespect
अनादर	anādara	m.	lack of respect
अनादरण	anādaraṇa	n.	dishonour  [ Com. ]
अनादरण	anādaraṇa	n.	disrespectful behaviour
अनादरण	anādaraṇa	n.	neglect
अनादराक्षेप	anādarākṣepa	m.	objection to anything by feigned indifference
अनादरिन्	anādarin	adj.	disrespectful
अनादि	anādi	adj.	eternal
अनादि	anādi	adj.	existing from eternity
अनादि	anādi	adj.	having no beginning
अनादि	anādi	adj.	without a beginning
अनादि	anādi	adj.	without beginning
अनादि	anādi	ind.	incessantly
अनादि	anādi	ind.	perpetually
अनादित्व	anāditva	n.	eternity
अनादिनिधन	anādinidhana	adj.	eternal
अनादिनिधन	anādinidhana	adj.	having neither beginning nor end
अनादिन्	anādin	adj.	not sounding
अनादिमत्	anādimat	adj.	having no beginning
अनादिष्ट	anādiṣṭa	adj.	not allowed
अनादिष्ट	anādiṣṭa	adj.	not commanded or instructed
अनादिष्ट	anādiṣṭa	adj.	not indicated
अनादीनव	anādīnava	adj.	faultless
अनादृत	anādṛta	adj.	an-ādara
अनादृत	anādṛta	adj.	disrespected
अनादृत	anādṛta	adj.	not respected
अनादृत्य	anādṛtya	indecl.	without respecting  [ regardless ]
अनादेय	anādeya	adj.	unacceptable
अनादेशकर	anādeśakara	adj.	doing what is not commanded or not allowed
अनाद्य	anādya	adj.	eternal
अनाद्य	anādya	adj.	not eatable
अनाद्यनन्त	anādyananta	adj.	eternal
अनाद्यनन्त	anādyananta	adj.	having neither beginning nor end
अनाद्यनन्त	anādyananta	adj.	without beginning and without end
अनाधृष्	anādhṛṣ	adj.	not checking
अनाधृष्ट	anādhṛṣṭa	adj.	invincible
अनाधृष्ट	anādhṛṣṭa	adj.	perfect
अनाधृष्ट	anādhṛṣṭa	adj.	unchecked
अनाधृष्ट	anādhṛṣṭa	adj.	unimpaired
अनानत	anānata	adj.	not humbled
अनानत	anānata	adj.	unbent
अनानुकूल्य	anānukūlya	n.	inconvenience
अनानुकृत्य	anānukṛtya	adj.	unparalleled
अनानुद	anānuda	adj.	obstinate
अनानुदिष्ट	anānudiṣṭa	adj.	unsolicited
अनानुपूर्व्य	anānupūrvya	n.	separation of the different parts of a compound word by the intervention of others
अनानुपूर्व्य	anānupūrvya	n.	tmesis
अनानुपूर्व्यसंहिता	anānupūrvyasaṃhitā	f.	manner of constructing a sentence with the above tmesis
अनानुभूति	anānubhūti	f.	inattention
अनान्तरीयक	anāntarīyaka	adj.	immediate
अनापत्ति	anāpatti	adj.	guiltless
अनापन्न	anāpanna	adj.	not fallen into distress
अनापन्न	anāpanna	adj.	not realiśed
अनापन्न	anāpanna	adj.	unattained
अनापूयित	anāpūyita	adj.	not stinking
अनाप्त	anāpta	adj.	invalid  [ unfit ]
अनाप्त	anāpta	adj.	not apt
अनाप्त	anāpta	adj.	unattained
अनाप्त	anāpta	adj.	unfit
अनाप्त	anāpta	adj.	unobtained
अनाप्त	anāpta	adj.	unsuccessful in the effort to attain or obtain
अनाप्त	anāpta	m.	stranger
अनाप्ति	anāpti	f.	non-attainment
अनाप्य	anāpya	adj.	unattainable
अनाप्रीत	anāprīta	adj.	not consecrated with the āprī verses
अनाबाध	anābādha	adj.	free from obstacles or troubles
अनाभयिन्	anābhayin	adj.	fearless
अनाभू	anābhū	adj.	disobliging
अनाभोग	anābhoga	adj.	having or offering no enjoyments
अनाभ्युदयिक	anābhyudayika	adj.	ill-omened
अनाभ्युदयिक	anābhyudayika	adj.	inauspicious
अनाभ्युदयिक	anābhyudayika	adj.	unlucky
अनामक	anāmaka	adj.	anonymous
अनामक	anāmaka	adj.	infamous
अनामक	anāmaka	adj.	nameless
अनामक	anāmaka	m.	intercalary month
अनामक	anāmaka	n.	haemorrhoids
अनामक	anāmaka	n.	piles
अनामन्	anāman	adj.	infamous
अनामन्	anāman	adj.	nameless
अनामन्	anāman	m.	ḥeat
अनामन्	anāman	m.	ring-finger
अनामय	anāmaya	adj.	free from disease
अनामय	anāmaya	adj.	healthy
अनामय	anāmaya	adj.	not pernicious
अनामय	anāmaya	adj.	salubrious
अनामय	anāmaya	m.	śiva
अनामय	anāmaya	n.	health
अनामयित्नु	anāmayitnu	adj.	curative
अनामिका	anāmikā	f.	ring finger
अनामिका	anāmikā	f.	ring-finger
अनाम्नात	anāmnāta	adj.	not handed down in sacred texts
अनाम्य	anāmya	adj.	impossible to be bent
अनाम्य	anāmya	adj.	inflexible
अनायत	anāyata	adj.	close
अनायत	anāyata	adj.	continuous
अनायत	anāyata	adj.	having no length
अनायत	anāyata	adj.	not tied or fastened
अनायत	anāyata	adj.	unextended
अनायत	anāyata	adj.	unseparated
अनायतन	anāyatana	adj.	groundless
अनायत्त	anāyatta	adj.	independent
अनायत्त	anāyatta	adj.	uncontrolled
अनायत्तवृत्तिता	anāyattavṛttitā	f.	independence
अनायसेन	anāyasena	adj.	effortless
अनायास	anāyāsa	adj.	easy
अनायास	anāyāsa	adj.	not tiring
अनायास	anāyāsa	adj.	not troublesome
अनायास	anāyāsa	adj.	ready
अनायास	anāyāsa	m.	absence of exertion
अनायास	anāyāsa	m.	ease
अनायास	anāyāsa	m.	facility
अनायास	anāyāsa	m.	idleness
अनायास	anāyāsa	m.	neglect
अनायासकृत	anāyāsakṛta	adj.	done readily or easily
अनायासकृत	anāyāsakṛta	n.	infusion prepared extemporaneously
अनायासेन	anāyāsena	indecl.	easily
अनायुध	anāyudha	adj.	having no implements
अनायुध	anāyudha	adj.	weaponless
अनायुष्य	anāyuṣya	adj.	fatal to long life
अनायुष्य	anāyuṣya	adj.	not imparting long life
अनारत	anārata	adj.	continual
अनारत	anārata	adj.	continuous
अनारत	anārata	adj.	without interruption
अनारत	anārata	n.	continuity
अनारतम्	anāratam	indecl.	continually
अनारभ्य	anārabhya	adj.	improper or impracticable to be commenced or undertaken
अनारभ्य	anārabhya	ind.	without commencing
अनारभ्यत्व	anārabhyatva	n.	impossibility of being commenced
अनारभ्यवद	anārabhyavada	m.	detached remark
अनारभ्याधीत	anārabhyādhīta	adj.	taught or studied or read as a detached subject
अनारम्भ	anārambha	adj.	having no commencement
अनारम्भ	anārambha	m.	absence of beginning
अनारम्भ	anārambha	m.	non-commencement
अनारम्भ	anārambha	m.	not attempting or undertaking
अनारम्भ	anārambha	m.	not beginning
अनारम्भण	anārambhaṇa	adj.	intangible
अनारुह्य	anāruhya	indecl.	not having surmounted
अनारोक	anāroka	adj.	dense
अनारोक	anāroka	adj.	without interstices
अनारोग्य	anārogya	adj.	ill
अनारोग्य	anārogya	adj.	unhealthy
अनारोग्य	anārogya	n.	sickness
अनारोग्यकर	anārogyakara	adj.	causing sickness
अनारोग्यकर	anārogyakara	adj.	unhealthy
अनारोग्यकर	anārogyakara	adj.	unwholesome
अनार्जव	anārjava	n.	crookedness
अनार्जव	anārjava	n.	disease
अनार्जव	anārjava	n.	moral or physical
अनार्ति	anārti	f.	painlessness
अनार्त्विजीन	anārtvijīna	adj.	unfit or unsuitable for a priest
अनार्य	anārya	adj.	destitute of āryas
अनार्य	anārya	adj.	inferior
अनार्य	anārya	adj.	not honourable or respectable
अनार्य	anārya	adj.	vulgar
अनार्य	anārya	m.	ill-mannered person
अनार्य	anārya	m.	not an ārya
अनार्य	anārya	m.	one who is not an ārya
अनार्यक	anāryaka	n.	āgallochum or agarwood or āloe wood  [ aromatic resin embedded wood ]
अनार्यकर्मिन्	anāryakarmin	m.	doing work unbecoming an ārya or becoming only a non-ārya
अनार्यज	anāryaja	adj.	of vile or unworthy origin
अनार्यज	anāryaja	n.	āgallochum or agarwood  [ aromatic resin embedded wood ]
अनार्यज	anāryaja	n.	being a produce of the country of mlecchas or barbarians
अनार्यजुष्ट	anāryajuṣṭa	adj.	observed
अनार्यजुष्ट	anāryajuṣṭa	adj.	or possessed by non-āryas
अनार्यजुष्ट	anāryajuṣṭa	adj.	practised
अनार्ष	anārṣa	adj.	not added to his name
अनार्ष	anārṣa	adj.	not applied to a ṛṣi
अनार्ष	anārṣa	adj.	not belonging to a ṛṣi or to a Vedic hymn
अनार्ष	anārṣa	adj.	not belonging to the saṃhitā text
अनार्ष	anārṣa	adj.	not Vedic
अनालम्ब	anālamba	m.	despondency
अनालम्बन	anālambana	adj.	desponding
अनालम्बी	anālambī	f.	śiva's lute
अनालम्भुका	anālambhukā	f.	intangible
अनालम्भुका	anālambhukā	f.	woman during menstruation
अनालाप	anālāpa	adj.	not talkative
अनालाप	anālāpa	adj.	reserved
अनालाप	anālāpa	adj.	taciturn
अनालाप	anālāpa	m.	reserve
अनालाप	anālāpa	m.	taciturnity
अनालोचित	anālocita	adj.	imprudent
अनालोचित	anālocita	adj.	rash
अनालोचित	anālocita	adj.	unbeheld
अनालोचित	anālocita	adj.	unconsidered
अनालोचित	anālocita	adj.	unseen
अनालोचित	anālocita	adj.	unweighed
अनाविद्ध	anāviddha	adj.	not containing long compounds
अनाविद्ध	anāviddha	adj.	not wounded
अनाविद्ध	anāviddha	adj.	unhurt
अनाविल	anāvila	adj.	clear
अनाविल	anāvila	adj.	not marshy
अनाविल	anāvila	adj.	not muddy
अनाविल	anāvila	adj.	not turbid
अनाविल	anāvila	adj.	pure
अनाविल	anāvila	adj.	wholesome
अनावृत	anāvṛta	adj.	free
अनावृत	anāvṛta	adj.	open
अनावृत	anāvṛta	adj.	uncovered
अनावृत	anāvṛta	adj.	undressed
अनावृत	anāvṛta	adj.	uninclosed
अनावृत	anāvṛta	adj.	unlimited
अनावृत	anāvṛta	m.	bare
अनावृत ऋणपत्र	anāvṛta ṛṇapatra	n.	simple debenture  [ naked deb. ]
अनावृतमस्तकम्	anāvṛtamastakam	adverb	bareheaded
अनावृत्त	anāvṛtta	adj.	not chosen
अनावृत्त	anāvṛtta	adj.	not frequented or approached
अनावृत्त	anāvṛtta	adj.	not retreating
अनावृत्त	anāvṛtta	adj.	not turned about or round
अनावृत्ति	anāvṛtti	f.	final emancipation
अनावृत्ति	anāvṛtti	f.	non-return to a body
अनावृष्टि	anāvṛṣṭi	f.	drought
अनाव्याध	anāvyādha	adj.	impossible to be broken or forced open
अनाव्रस्क	anāvraska	m.	uninjured condition
अनाश	anāśa	adj.	despairing
अनाश	anāśa	adj.	hopeless
अनाश	anāśa	adj.	living
अनाश	anāśa	adj.	not destroyed
अनाशक	anāśaka	n.	abstaining from food even to death
अनाशक	anāśaka	n.	fasting
अनाशकिन्	anāśakin	m.	ascetic
अनाशकिन्	anāśakin	m.	not eating
अनाशङ्किन्	anāśaṅkin	adj.	clueless
अनाशङ्किन्	anāśaṅkin	adj.	not doubting
अनाशित	anāśita	adj.	hungry
अनाशित	anāśita	adj.	one who has not eaten
अनाशिन्	anāśin	adj.	imperishable
अनाशिन्	anāśin	adj.	not eating
अनाशु	anāśu	adj.	slow
अनाश्रमवास	anāśramavāsa	m.	non-residence in a religious retreat
अनाश्रमवास	anāśramavāsa	m.	one who does not belong to the āśramas
अनाश्रमेवास	anāśramevāsa	m.	non-residence in a religious retreat
अनाश्रमेवास	anāśramevāsa	m.	one who does not belong to the āśramas
अनाश्रय	anāśraya	adj.	defenceless
अनाश्रय	anāśraya	adj.	isolated
अनाश्रय	anāśraya	m.	isolation
अनाश्रय	anāśraya	m.	self-dependence
अनाश्रित	anāśrita	adj.	detached
अनाश्रित	anāśrita	adj.	disengaged
अनाश्रित	anāśrita	adj.	independent
अनाश्रित	anāśrita	adj.	non-inherent
अनाश्रित	anāśrita	adj.	not supported
अनाष्ट्र	anāṣṭra	adj.	free from dangers or dangerous opponents
अनास	anāsa	adj.	noseless
अनास	anāsa	m.	pineapple tree
अनास	anāsa	n.	pineapple
