0	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	0
0.5	231	1902	0.121451104	0.105		301	2000	0.1505	0.128085106		301	1951	0.154279856	0.127004219		80	1902	0.042060988	0.033755274	0.038818565
1	431	1922	0.224245578	0.195909091		613	2010	0.304975124	0.260851064		537.66	1966	0.273479145	0.226860759		130	1933	0.067252975	0.054852321	0.063080169
1.5	510	1933	0.263838593	0.231818182		830	2030	0.493596059	0.426382979		778.68	1981.5	0.392975019	0.328556962		160	1966	0.08138352	0.067510549	0.077637131
2	560	1940	0.288659794	0.254545455		950	2060	0.599029126	0.525106383		923.91	2000	0.461955	0.389835443		190	1978	0.096056623	0.080168776	0.092194092
2.5	830	1942	0.427394439	0.377272727		1099	2080	0.669230769	0.592340426		1144.33	2011	0.569035306	0.482839662		221	1983	0.111447302	0.093248945	0.107236287
3	1010	1945	0.519280206	0.459090909		1240	2100	0.719047619	0.642553191		1390	2022.5	0.687268232	0.58649789		251	2009	0.12493778	0.105907173	0.121793249
3.5	1320	1950	0.676923077	0.6		1530	2120	0.704545455	0.659574468		1501	2075	0.723373494	0.633333333		410	2012	0.203777336	0.172995781	0.198945148
4	1410	1952	0.722336066	0.640909091		1580	2180	0.709821429	0.676595745		1610	2096	0.768129771	0.679324895		610	2120	0.287735849	0.257383966	0.295991561
4.5	1510	1955	0.772378517	0.686363636		1610	2210	0.695652174	0.680851064		1620	2127.5	0.761457109	0.683544304		890	2300	0.386956522	0.375527426	0.43185654
5	1512	1960	0.771428571	0.687272727		1630	2299	0.690212766	0.690212766		1622	2155	0.752668213	0.684388186		991	2322	0.426787252	0.41814346	0.480864979
5.5	1530	1980	0.772727273	0.695454545		1722	2355	0.69044586	0.691914894		1625.34	2167.5	0.749868512	0.685797468		1201	2333	0.514787827	0.506751055	0.582763713
6	1529	1989	0.768728004	0.695		1730	2358	0.716709075	0.719148936		1657.785	2173.5	0.762726018	0.699487342		1320	2358	0.559796438	0.556962025	0.640506329
6.5	1541	1992	0.773594378	0.700454545		1780	2465	0.722109533	0.757446809		1710.315	2228.5	0.767473637	0.721651899		1420	2444	0.58101473	0.599156118	0.689029536
7	1542	2000	0.771	0.700909091		1850	2470	0.748987854	0.787234043		1746.88	2235	0.78160179	0.737080169		1480	2451	0.603835169	0.624472574	0.71814346
7.5	1543	2005	0.76957606	0.701363636		1952	2484	0.783935743	0.830638298		1799.925	2247.5	0.800856507	0.759462025		1511	2460	0.614227642	0.637552743	0.733185654
8	1544	2008	0.768924303	0.701818182		1997	2487	0.802008032	0.849787234		1823.615	2249	0.810855936	0.769457806		1520	2465	0.61663286	0.641350211	0.737552743
8.5	1548	2010	0.770149254	0.703636364		2008	2488	0.806425703	0.854468085		1831.34	2250	0.813928889	0.7727173		1531	2471	0.619587212	0.645991561	0.742890295
9	1548	2010	0.770149254	0.703636364		2007	2489	0.806024096	0.854042553		1830.825	2250	0.8137	0.7725		1541	2511	0.613699721	0.65021097	0.747742616
9.5	1550	2010	0.771144279	0.704545455		2007	2490	0.806024096	0.854042553		1831.855	2250	0.814157778	0.772934599		1544	2518	0.613185068	0.651476793	0.749198312
10	1550	2010	0.771144279	0.704545455		2008	2490	0.806425703	0.854468085		1832.37	2250	0.814386667	0.773151899		1559	2520	0.618650794	0.657805907	0.756476793
